name.firstName,name.lastName,age,address.line1,address.line2,address.city,address.state,gender,phone.mobile,phone.landline
Rohit,Prasad,35,A-563 Rakshak Society,New Pune Road,Pune,Maharashtra,male,9876543210,020-12345678
Priya,Sharma,28,B-404 Green Valley,MG Road,Bangalore,Karnataka,female,9876543211,080-87654321
Arjun,Kumar,42,C-205 Tech Park,Electronic City,Hyderabad,Telangana,male,9876543212,040-98765432
Meena,Iyer,31,D-112 Lotus Heights,Anna Nagar,Chennai,Tamil Nadu,female,9876543213,044-23456789
Vikram,Patel,39,E-23 Sunrise Residency,SG Highway,Ahmedabad,Gujarat,male,9876543214,079-34567890
Neha,Verma,26,F-56 Silver Oaks,Rajendra Nagar,Delhi,Delhi,female,9876543215,011-22334455
Suresh,Reddy,45,G-78 Hill View,Secunderabad,Hyderabad,Telangana,male,9876543216,040-11223344
Anita,Deshmukh,34,H-90 Riverfront Society,FC Road,Pune,Maharashtra,female,9876543217,020-33445566
Karan,Malhotra,29,I-67 Palm Residency,Golf Course Road,Gurgaon,Haryana,male,9876543218,0124-5566778
Sunita,Chopra,41,J-22 Royal Enclave,Bandra West,Mumbai,Maharashtra,female,9876543219,022-77889900
Rajat,Singh,37,K-89 Crystal Tower,Park Street,Kolkata,West Bengal,male,9876543220,033-66554433
Pooja,Mehra,30,L-15 Ocean View,Marine Drive,Mumbai,Maharashtra,female,9876543221,022-22334455
